cohort,event_type,feature,auc,n_events,n_controls
vitaldb,variability,rmssd_max,0.6702733224472355,2442,483
vitaldb,variability,rmssd_slope,0.5330497629528851,2442,483
vitaldb,variability,pnn50_mean,0.6587492348361914,2442,483
vitaldb,variability,pnn50_std,0.6613439111559679,2442,483
vitaldb,variability,pnn50_min,0.5083879757792802,2442,483
vitaldb,variability,pnn50_max,0.6668854060158409,2442,483
vitaldb,variability,pnn50_slope,0.5377294561339037,2442,483
vitaldb,variability,arv_mean,0.565388652345174,2442,483
vitaldb,variability,arv_std,0.6505507818440736,2442,483
vitaldb,variability,arv_min,0.5462154701285136,2442,483
vitaldb,variability,arv_max,0.6517063364889452,2442,483
vitaldb,variability,arv_slope,0.5098628454167851,2442,483
vitaldb,variability,cv_pa_mean,0.6510149336236293,2442,483
vitaldb,variability,cv_pa_std,0.612151592030859,2442,483
vitaldb,variability,cv_pa_min,0.5131082522386871,2442,483
vitaldb,variability,cv_pa_max,0.6179666397057701,2442,483
vitaldb,variability,cv_pa_slope,0.5680946833160012,2442,483
vitaldb,variability,std_pa_mean,0.6791602443776357,2442,483
vitaldb,variability,std_pa_std,0.6244616612976814,2442,483
vitaldb,variability,std_pa_min,0.5076092467396816,2442,483
vitaldb,variability,std_pa_max,0.628796780970694,2442,483
vitaldb,variability,std_pa_slope,0.5662563410211835,2442,483
vitaldb,variability,rsa_mean,0.6925724484881794,2442,483
vitaldb,variability,rsa_std,0.6778081642327116,2442,483
vitaldb,variability,rsa_min,0.5683436860325174,2442,483
vitaldb,variability,rsa_max,0.669365714653672,2442,483
vitaldb,variability,rsa_slope,0.5343848407678194,2442,483
